"","index","Referendum","Strike and mass demonstrations","King’s speech","Puigdemont answer s the king","First organizations to move out","Demonstrations for dialogue","Demonstration against independence","First DOI","Referendum organizers imprisonment"
"133",2017-10-06 21:00:00,1,1,1,1,1,0,0,0,0
"134",2017-10-06 22:00:00,1,1,1,1,1,0,0,0,0
"135",2017-10-06 23:00:00,1,1,1,1,1,0,0,0,0
"136",2017-10-07 00:00:00,1,1,1,1,1,0,0,0,0
"137",2017-10-07 01:00:00,1,1,1,1,1,0,0,0,0
"138",2017-10-07 02:00:00,1,1,1,1,1,0,0,0,0
"139",2017-10-07 03:00:00,1,1,1,1,1,0,0,0,0
"140",2017-10-07 04:00:00,1,1,1,1,1,0,0,0,0
"141",2017-10-07 05:00:00,1,1,1,1,1,0,0,0,0
"142",2017-10-07 06:00:00,1,1,1,1,1,0,0,0,0
"143",2017-10-07 07:00:00,1,1,1,1,1,0,0,0,0
"144",2017-10-07 08:00:00,1,1,1,1,1,0,0,0,0
"145",2017-10-07 09:00:00,1,1,1,1,1,0,0,0,0
"146",2017-10-07 10:00:00,1,1,1,1,1,1,0,0,0
"147",2017-10-07 11:00:00,1,1,1,1,1,1,0,0,0
"148",2017-10-07 12:00:00,1,1,1,1,1,1,0,0,0
"149",2017-10-07 13:00:00,1,1,1,1,1,1,0,0,0
"150",2017-10-07 14:00:00,1,1,1,1,1,1,0,0,0
"151",2017-10-07 15:00:00,1,1,1,1,1,1,0,0,0
"152",2017-10-07 16:00:00,1,1,1,1,1,1,0,0,0
"153",2017-10-07 17:00:00,1,1,1,1,1,1,0,0,0
"154",2017-10-07 18:00:00,1,1,1,1,1,1,0,0,0
"155",2017-10-07 19:00:00,1,1,1,1,1,1,0,0,0
"156",2017-10-07 20:00:00,1,1,1,1,1,1,0,0,0
"157",2017-10-07 21:00:00,1,1,1,1,1,1,0,0,0
"158",2017-10-07 22:00:00,1,1,1,1,1,1,0,0,0
"159",2017-10-07 23:00:00,1,1,1,1,1,1,0,0,0
"160",2017-10-08 00:00:00,1,1,1,1,1,1,0,0,0
"161",2017-10-08 01:00:00,1,1,1,1,1,1,0,0,0
"162",2017-10-08 02:00:00,1,1,1,1,1,1,0,0,0
"163",2017-10-08 03:00:00,1,1,1,1,1,1,0,0,0
"164",2017-10-08 04:00:00,1,1,1,1,1,1,0,0,0
"165",2017-10-08 05:00:00,1,1,1,1,1,1,0,0,0
"166",2017-10-08 06:00:00,1,1,1,1,1,1,0,0,0
"167",2017-10-08 07:00:00,1,1,1,1,1,1,0,0,0
"168",2017-10-08 08:00:00,1,1,1,1,1,1,0,0,0
